Gene1        Gene2        Direction    Correlation  Distant?     Distance     
PATZ1        RELB         1            0.80678      1            -1           
PATZ1        MECP2        1            0.91967      1            -1           
PATZ1        DBP          1            0.90681      1            -1           
PATZ1        NR2E3        1            0.88101      1            -1           
PATZ1        PPARD        -1           0.80983      1            -1           
PATZ1        GATA2        -1           0.77309      1            -1           
PATZ1        CDX1         0            0.87432      1            -1           
PATZ1        FOXF2        1            -0.77562     1            -1           
PATZ1        MEF2D        0            0.7587       1            -1           
PATZ1        FOXO4        1            0.85         1            -1           
PATZ1        HOXC13       0            0.75231      1            -1           
PATZ1        HINFP        0            0.80999      1            -1           
PATZ1        HOXB4        0            0.76469      1            -1           
PATZ1        HOXC5        0            0.80784      1            -1           
PATZ1        HOXC4        0            0.83803      1            -1           
PATZ1        FOXN1        0            0.75879      1            -1           
PATZ1        ZNF333       0            0.76115      1            -1           
SP2          SREBF1       -1           0.84759      1            28233190     
SP2          ZNF219       -1           0.81692      1            -1           
SP2          GATA1        0            0.823        1            -1           
SP2          IRF7         0            0.83066      1            -1           
SP2          PRDM1        -1           0.80048      1            -1           
SP2          SPI1         0            0.91808      1            -1           
SP2          TRIM28       1            0.82721      1            -1           
SP2          GTF2I        0            0.76401      1            -1           
SP2          VDR          -1           0.7529       1            -1           
SP2          STAT3        -1           0.89466      1            5433110      
SP2          CTCF         -1           0.91585      1            -1           
SP2          ARID5B       1            -0.78229     1            -1           
SP2          HAND1        -1           0.8587       1            -1           
SP2          MXD3         -1           0.8321       1            -1           
SP2          MXI1         -1           0.86939      1            -1           
SP2          NHLH1        -1           0.92954      1            -1           
SP2          TFE3         1            0.82653      1            -1           
SP2          TFEB         -1           0.87658      1            -1           
SP2          USF1         0            0.8662       1            -1           
SP2          ARNT         -1           0.89413      1            -1           
SP2          MZF1         1            0.85524      1            -1           
SP2          NR1I3        0            0.83121      1            -1           
SP2          RORA         1            0.8521       1            -1           
SP2          TGIF1        0            0.94859      1            -1           
SP2          RARA         -1           0.79349      1            7475245      
SP2          RARG         0            0.8008       1            -1           
SP2          THRA         -1           0.87531      1            7754448      
SP2          ELF2         0            0.81345      1            -1           
SP2          NFATC3       -1           0.85943      1            -1           
SP2          ATF3         -1           0.84282      1            -1           
SP2          FOS          -1           0.83044      1            -1           
SP2          ATF4         -1           0.79587      1            -1           
SP2          SMAD7        0            0.89294      1            -1           
SP2          ATF6         1            -0.75539     1            -1           
SP2          BCL6         0            -0.789       1            -1           
SP2          ATF7         0            0.91368      1            -1           
SP2          ZNF143       0            0.89972      1            -1           
SP2          BACH2        1            0.82831      1            -1           
SP2          HOXB1        -1           0.79166      0            634757       
SP2          PAX6         1            0.8219       1            -1           
SP2          BPTF         0            0.78013      1            19848264     
SP2          STAT5A       -1           0.95992      1            5533951      
SP2          STAT5B       -1           0.84912      1            5545091      
SP2          TEF          -1           0.7838       1            -1           
SP2          ELK4         -1           0.84608      1            -1           
SP2          ERF          0            0.77949      1            -1           
SP2          DMBX1        -1           0.90021      1            -1           
SP2          RFXANK       1            0.86517      1            -1           
SP2          CBFB         -1           0.92928      1            -1           
SP2          DEAF1        0            0.80539      1            -1           
SP2          RUNX1        1            -0.76476     1            -1           
SP2          GTF2IRD1     -1           0.89051      1            -1           
SP2          SOX10        -1           0.79238      1            -1           
SP2          SOX15        0            0.7873       1            38480027     
SP2          XBP1         0            0.85403      1            -1           
SP2          TP53         -1           0.80996      1            38382647     
SP2          ZNF589       -1           0.91636      1            -1           
SP2          STAT6        0            0.79672      1            -1           
SP2          CLOCK        1            0.75952      1            -1           
SP2          REL          1            0.78225      1            -1           
SP2          PITX3        -1           0.81028      1            -1           
SP2          PPARD        -1           0.91477      1            -1           
SP2          DDIT3        -1           0.9069       1            -1           
SP2          GLI1         -1           0.90026      1            -1           
SP2          DMRT2        1            -0.86201     1            -1           
SP2          HNF1B        0            0.79056      1            9868419      
SP2          HOMEZ        -1           0.97857      1            -1           
SP2          ELF3         -1           0.97065      1            -1           
SP2          ELF4         0            0.85238      1            -1           
SP2          ETV4         -1           0.89151      0            4350210      
SP2          FOXJ1        0            0.95198      1            28163865     
SP2          LMX1B        0            0.86732      1            -1           
SP2          MECOM        0            -0.82265     1            -1           
SP2          MEF2D        -1           0.88039      1            -1           
SP2          FOXO4        1            0.90692      1            -1           
SP2          IRX5         1            -0.76825     1            -1           
SP2          MEOX1        -1           0.92734      0            4234584      
SP2          TFEC         1            -0.84769     1            -1           
SP3          TFAP2A       0            0.98224      1            -1           
SP3          USF2         -1           0.80244      1            -1           
SP3          NR1H2        1            0.82602      1            -1           
SP3          YY1          -1           0.81072      1            -1           
SP3          ATF5         -1           0.76121      1            -1           
SP3          RARB         1            -0.77623     1            -1           
SP3          RXRG         0            -0.87803     1            -1           
SP3          MTF1         1            0.80735      1            -1           
SP3          TFDP2        -1           0.8284       1            -1           
SP3          CUX1         -1           0.77643      1            -1           
SP3          GCM2         -1           0.84568      1            -1           
SP3          SOX5         1            -0.77679     1            -1           
SP3          DLX2         0            0.85692      0            1861469      
SP3          SPIB         1            0.81556      1            -1           
SP3          GLI2         -1           0.75279      1            53274081     
SP3          TP63         1            -0.81283     1            -1           
SP3          DLX1         0            0.84512      0            1878740      
SP3          ELK3         0            -0.8041      1            -1           
SP3          MNX1         1            0.86288      1            -1           
SP3          GATA6        -1           -0.82874     1            -1           
SP3          LMX1A        1            -0.92555     1            -1           
SP3          RBPJ         1            0.81001      1            -1           
SP3          GBX2         1            0.79319      1            62247705     
SP3          HOXA1        0            0.81347      1            -1           
SP3          HOXA3        0            0.81021      1            -1           
SP3          HOXA4        0            0.76911      1            -1           
SP3          HOXA2        0            0.81389      1            -1           
SP3          VAX2         -1           0.79543      1            103701228    
SP3          UBP1         -1           0.80065      1            -1           
SP3          PROP1        0            0.78439      1            -1           
SP4          NKX2-1       -1           0.89678      1            -1           
SP4          GLIS3        0            -0.78904     1            -1           
SP4          CEBPG        -1           -0.77369     1            -1           
SP4          EPAS1        -1           -0.78512     1            -1           
SP4          OTX2         -1           0.78894      1            -1           
SP4          NFATC1       1            0.92868      1            -1           
SP4          HSF2         1            0.849        1            -1           
SP4          BARHL2       -1           0.76383      1            -1           
SP4          NANOG        -1           0.75392      1            -1           
SP4          SOX6         0            -0.76064     1            -1           
SP4          HIVEP2       -1           -0.82888     1            -1           
SP4          NKX6-2       -1           -0.94752     1            -1           
SP4          IRX6         1            -0.78806     1            -1           
SP4          KLF12        0            -0.77235     1            -1           
SP4          SOX17        -1           0.77011      1            -1           
SREBF1       ZNF219       0            0.84213      1            -1           
SREBF1       PITX1        0            0.7696       1            -1           
SREBF1       GATA1        0            0.76488      1            -1           
SREBF1       IRF7         1            0.88251      1            -1           
SREBF1       PRDM1        0            0.77354      1            -1           
SREBF1       NFIX         0            0.7568       1            -1           
SREBF1       PAX2         -1           0.8766       1            -1           
SREBF1       VDR          1            0.84307      1            -1           
SREBF1       STAT3        -1           0.91068      1            22800080     
SREBF1       ZNF263       0            0.77018      1            -1           
SREBF1       CTCF         0            0.92826      1            -1           
SREBF1       ARID5B       1            -0.86595     1            -1           
SREBF1       HAND1        1            0.84214      1            -1           
SREBF1       MXD3         0            0.755        1            -1           
SREBF1       NHLH1        -1           0.76389      1            -1           
SREBF1       SREBF2       -1           0.82608      1            -1           
SREBF1       TFE3         1            0.92471      1            -1           
SREBF1       USF1         1            0.85183      1            -1           
SREBF1       MZF1         1            0.75541      1            -1           
SREBF1       NEUROD1      1            -0.76268     1            -1           
SREBF1       TGIF1        1            0.87628      1            -1           
SREBF1       CEBPB        -1           0.77445      1            -1           
SREBF1       HIF1A        1            0.75619      1            -1           
SREBF1       RARA         0            0.76176      1            20757945     
SREBF1       THRA         0            0.8327       1            20478742     
SREBF1       NFATC3       -1           0.92768      1            -1           
SREBF1       ATF3         -1           0.82585      1            -1           
SREBF1       FOS          -1           0.9539       1            -1           
SREBF1       JUNB         1            0.8143       1            -1           
SREBF1       ATF4         0            0.95808      1            -1           
SREBF1       E2F4         0            0.80378      1            -1           
SREBF1       SMAD7        1            0.78384      1            -1           
SREBF1       NRF1         -1           0.76306      1            -1           
SREBF1       ZNF143       1            0.76888      1            -1           
SREBF1       BACH2        1            0.82519      1            -1           
SREBF1       MAFG         1            0.75773      1            62145262     
SREBF1       ZNF628       1            0.9064       1            -1           
SREBF1       HOXB1        0            0.80438      1            28867947     
SREBF1       STAT5A       -1           0.83654      1            22699239     
SREBF1       STAT5B       -1           0.89158      1            22688099     
SREBF1       ELK4         0            0.91642      1            -1           
SREBF1       ERF          1            0.88919      1            -1           
SREBF1       DMBX1        -1           0.82714      1            -1           
SREBF1       BRCA1        0            0.79612      1            23537143     
SREBF1       RFXANK       1            0.75549      1            -1           
